id,following
d3249457-6bc3-4883-a2a4-0cca7ff91f24,"[86930c11-6eaf-4980-acb2-a01a7effceac, b2e3f0ee-8796-48a5-ac54-d8824c865a5f, e4feb448-bfd4-4315-8eab-cb2bfbf8e31d, 3bf8d2a9-63c7-4bbd-91bb-39f50b258fbf, 57e3d2a8-29dc-454a-9629-5ec0bfceeb7e, 3805c25f-5a09-455b-b391-74b563e6b255, 644bf6f4-be4f-47c4-9c8f-acc6a001180e]"
f05e6d26-0efa-4cb5-b5de-edfbbbe16f5c,"[aeafe69f-5642-4fde-98cd-27ac19ab6187, f7d5940f-3e58-4633-af3c-5ef75ec7612b, 2fa68101-53e6-44b8-b2f5-45b478dbd7f5, b8b7e436-b6f4-4478-9131-25b3dee15753, 3eeb4615-015d-4a91-a413-e41958d407b2, 769bc03c-1f1b-4667-be2e-30c4a17be372, dded68a3-a3e1-425e-a0e0-19a2a3d2318f]"
318709fe-e690-4940-8111-7fdea9e360a3,"[592089ff-2cdf-4db9-8ac4-b2d56ef5c026, f42b917c-2ffb-4c61-b007-77c13c8b479a, 6a309974-964d-4d4b-ba61-aabbf039cc0b, 43e6d071-9af1-41dd-aa19-35270571b304, e7dcb53a-08c9-462a-8f3e-75bf9c370089, f05e6d26-0efa-4cb5-b5de-edfbbbe16f5c, 993eaf56-6bf4-4b9c-84ce-c6fd6a9189aa, fc600dae-c3b3-4801-b34b-edc6f51f4b30, e81eaa2e-c00f-4bd5-88e9-e1a49bef51db, 4573b077-10e9-41e3-9c72-b849de41bd4d]"
c4e532eb-1575-4ee6-81c3-aeb6ff418c9f,"[a1f13358-e49d-4be5-a8ac-da645743d91f, f7d5940f-3e58-4633-af3c-5ef75ec7612b, f3fb8b13-50f7-40d2-9e25-43d41e4c215a, c5ca4b7c-803d-4bce-b1a3-4f4b3718b1b7, 1be9d4cc-8b59-46a7-97ff-107a14db7c64, 6ba9bed1-ed58-4abf-93bd-c7c00296ed4c, 2be91a9a-3e8d-4a70-b09f-e8e98ea848aa, c3892a1d-5832-4dda-9ddf-fd1d81870501, 6837306f-3e2d-4a17-ac6f-0d96e57fed10, 8cb27177-a804-4052-9770-a65db1e86b90]"
119c2163-4f39-44f1-83d9-d5b8dbbd7c37,"[644bf6f4-be4f-47c4-9c8f-acc6a001180e, a248f1e8-a910-4ca7-a91f-34683b732847, a45980e2-f4d1-44f2-9149-abf0f1e47fc1, 7142f4c6-ac83-4155-ab5d-54b186485986, c5434d6e-625d-4f0a-a89b-22a02cefccc5]"
68cdf054-0ee1-4068-8b0b-025291c656aa,"[eaea25dd-43d7-4207-b479-8a79ff695458, fc600dae-c3b3-4801-b34b-edc6f51f4b30, 8f608c1e-6a84-4a26-b5b0-7109366b944d, cd151155-7a4b-437d-83ad-e01ec2cd9cdd, a50ae21b-ef3d-493a-9cc6-d1bfea488ce2, 318709fe-e690-4940-8111-7fdea9e360a3, 40016dca-fe29-4940-81d0-2c2a646aab4f]"
993eaf56-6bf4-4b9c-84ce-c6fd6a9189aa,"[d86ab1ee-2ebc-49b0-97e2-62b3055f35fb, d5543d85-93b7-4ea9-8713-e3f5b37af16e, afe97f52-59a3-483f-a152-517d0e9e6f01, 3a322e7d-dcec-4bc8-bb97-b9d39c479de4, 624b4a23-8311-4a82-b031-d984a2362aff, 2285250e-92d1-4878-b8bd-995360ea2ff6, 40913b8e-bcf1-410f-acc1-00a8c650a164]"
6a03bab9-44aa-4ca1-8173-71f57a95f03e,[]
8c536d32-e5b9-4b8b-a164-e0cffb3e1208,[]
e5a3f140-b1e9-4741-91f9-2a327dc164c8,"[aefc8e44-4e14-4121-a0ab-a3c164d44157, f6d55a78-f484-4dfe-80e8-3f5a7562535b, b1cddaf2-0db1-427e-8a79-33ee90b3c0b1, 48225bcd-69d2-4d58-ad2c-43949a749a0e, 0eda9ea0-382c-4fd1-a30e-f65d4e588c6d, 38f5027c-26f8-4c51-b1c1-c893871773fe, 786da9af-bdd6-487e-a456-e87589965425]"
3ca7ae87-fb0c-43d9-bc3f-5204e820cab9,"[41379887-3961-447c-a171-0cc28de81111, f3e77bf3-75c4-43c6-9280-19069e2a7370, 91ba2939-2f69-4b24-b346-4d243e4e2806, 4023e29f-b203-4510-ab9b-d8809405761d]"
c9bb1df1-3a77-4e6a-b8fc-e79a12fe5e60,"[86930c11-6eaf-4980-acb2-a01a7effceac, 62e4d532-6836-43cb-8c05-e06d5a509832, 4023e29f-b203-4510-ab9b-d8809405761d, 715092d0-51bd-483e-a356-092703b64711, 377d9a74-ffe2-4937-a38b-2d4c9784dbdd, 6629f1eb-2a6a-48e5-96c2-557df09ded8b, 87ae91ea-7c1f-4a21-98e9-3d2a56449377, d455829c-066a-47c0-b51d-e5f3f2302306, 20924688-24dc-43d6-a234-83a7060f3f97, ef235f28-42d5-4d28-b6fe-b049fd0dc41b]"
badf1882-4418-401e-be71-4179fdb3fc58,[]
86579791-36d4-4ebe-ad35-47ebecd14013,[956e4381-a197-4264-a8df-3342daee5b5c]
