summary,cover,storyline,id,screenshots
"Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.",//images.igdb.com/igdb/image/upload/t_thumb/co2lbd.jpg,"Los Santos: a sprawling sun-soaked metropolis full of self-help gurus, starlets and fading celebrities, once the envy of the Western world, now struggling to stay afloat in an era of economic uncertainty and cheap reality TV.

Amidst the turmoil, three very different criminals plot their own chances of survival and success: Franklin, a street hustler looking for real opportunities and serious money; Michael, a professional ex-con whose retirement is a lot less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Running out of options, the crew risks everything in a series of daring",91d34d6a-8334-477c-aefe-a6477a710938,"[//images.igdb.com/igdb/image/upload/t_thumb/o7q3ikzmkjxbftrd64ok.jpg, //images.igdb.com/igdb/image/upload/t_thumb/vfdeo6kgu0o4cyzd0sng.jpg, //images.igdb.com/igdb/image/upload/t_thumb/eepecmqsq6uqxiaukar1.jpg, //images.igdb.com/igdb/image/upload/t_thumb/hjnzngnrtwr82jzmmkef.jpg, //images.igdb.com/igdb/image/upload/t_thumb/glvmulyejlde31q8b70z.jpg, //images.igdb.com/igdb/image/upload/t_thumb/n3t2agwuxlqggp3kryf9.jpg]"
"RPG and sequel to The Witcher 2 (2011), The Witcher 3 follows witcher Geralt of Rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn Northern Kingdoms. Geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes, each ranging from the personal to the world-changing.",//images.igdb.com/igdb/image/upload/t_thumb/co1wyy.jpg,"The Witcher 3: Wild Hunt concludes the story of the witcher Geralt of Rivia, the series' protagonist, whose story to date has been covered in the previous installments. Geralt's new mission comes in dark times as the mysterious and otherworldly army known as the Wild Hunt invades the Northern Kingdoms, leaving only blood soaked earth and fiery ruin in its wake; and it seems the Witcher is the key to stopping their cataclysmic rampage.",5b9a141e-c865-417a-b057-68327fbd9cc3,"[//images.igdb.com/igdb/image/upload/t_thumb/mnljdjtrh44x4snmierh.jpg, //images.igdb.com/igdb/image/upload/t_thumb/em1y2ugcwy2myuhvb9db.jpg, //images.igdb.com/igdb/image/upload/t_thumb/usxccsncekxg0wd1v6ee.jpg, //images.igdb.com/igdb/image/upload/t_thumb/z5t0yuhyiiui1ickwhgj.jpg, //images.igdb.com/igdb/image/upload/t_thumb/farvemmmxav0bgt6wx7t.jpg]"
"Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before.",//images.igdb.com/igdb/image/upload/t_thumb/co1tnw.jpg,"The Empire of Tamriel is on the edge. The High King of Skyrim has been murdered. Alliances form as claims to the throne are made. In the midst of this conflict, a far more dangerous, ancient evil is awakened. Dragons, long lost to the passages of the Elder Scrolls, have returned to Tamriel. The future of Skyrim, even the Empire itself, hangs in the balance as they wait for the prophesized Dragonborn to come; a hero born with the power of The Voice, and the only one who can stand amongst the dragons.",e55db6de-ee15-495b-bdfd-acfa0275ba57,"[//images.igdb.com/igdb/image/upload/t_thumb/muv70yw3rds1cw8ymr5v.jpg, //images.igdb.com/igdb/image/upload/t_thumb/xzk2h41fiye7uwbhc6ub.jpg, //images.igdb.com/igdb/image/upload/t_thumb/urqw7ltwmhr39gkidsih.jpg, //images.igdb.com/igdb/image/upload/t_thumb/t0mus35qrgclafo1ql8k.jpg, //images.igdb.com/igdb/image/upload/t_thumb/x5bbaqvgbpaz4hzlfeqb.jpg]"
"Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life.",//images.igdb.com/igdb/image/upload/t_thumb/co2lb9.jpg,"Five years ago, Carl Johnson escaped from the pressures of life in Los Santos, San Andreas, a city tearing itself apart with gang trouble, drugs and corruption. Where filmstars and millionaires do their best to avoid the dealers and gangbangers.
Now, it’s the early 90’s. Carl’s got to go home. His mother has been murdered, his family has fallen apart and his childhood friends are all heading towards disaster.

On his return to the neighborhood, a couple of corrupt cops frame him for homicide. CJ is forced on a journey that takes him across the entire state of San Andreas, to save his family and to take control of the streets.",e6b788b5-2b19-48f9-a6dd-8b26b150acc1,"[//images.igdb.com/igdb/image/upload/t_thumb/rr0iwayi6cyjjdsqwkcs.jpg, //images.igdb.com/igdb/image/upload/t_thumb/mfvoglilhuoqsiaape0g.jpg, //images.igdb.com/igdb/image/upload/t_thumb/tbvriowgrijsy3qqdb2e.jpg, //images.igdb.com/igdb/image/upload/t_thumb/sojdbdt93e06wojplpsj.jpg, //images.igdb.com/igdb/image/upload/t_thumb/fvax9gg9jt6jh7ibzmv4.jpg, //images.igdb.com/igdb/image/upload/t_thumb/hircn6ewsgu70ynlzis5.jpg, //images.igdb.com/igdb/image/upload/t_thumb/eswubyh9h3uereuyumjq.jpg, //images.igdb.com/igdb/image/upload/t_thumb/e11zpyhhjc9qdqgrx7v0.jpg, //images.igdb.com/igdb/image/upload/t_thumb/dbbtmdz0q1536npbpr5o.jpg, //images.igdb.com/igdb/image/upload/t_thumb/grnlc0hoocx4ykyb7lqy.jpg, //images.igdb.com/igdb/image/upload/t_thumb/lwmyi9fyffigmse2ltd4.jpg, //images.igdb.com/igdb/image/upload/t_thumb/qjdmlg0rp6phmtizefhr.jpg]"
"Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. You play as V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality. You can customize your character’s cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you.",//images.igdb.com/igdb/image/upload/t_thumb/co2mjs.jpg,"In 2077, following an economic collapse sometime during the early 21st century, the United States is forced to rely on large corporations to survive. These corporations deal in a wide range of areas, such as weapons, robotics, cybernetics, pharmaceuticals, communications and biotechnology, and many of these companies operate above the law. The world in between is where decadence, sex and pop culture mix with violent crime, extreme poverty and the unattainable promise of the American Dream. You play as V, a mercenary outlaw deeply embedded in the crime-ridden city of Night City, going after a one-of-a-kind implant that is the key to immortality.",991c2069-e0ba-4e70-88d7-71fb79d136a6,"[//images.igdb.com/igdb/image/upload/t_thumb/quphnww1axg2mmsvxfux.jpg, //images.igdb.com/igdb/image/upload/t_thumb/jmi4y3q12o4uitdcaf7i.jpg, //images.igdb.com/igdb/image/upload/t_thumb/c6ruovzsugjlnlcmm8b0.jpg, //images.igdb.com/igdb/image/upload/t_thumb/ydyq0pixly7vt29fnzci.jpg, //images.igdb.com/igdb/image/upload/t_thumb/lelfskpwy4slftl3qdeb.jpg, //images.igdb.com/igdb/image/upload/t_thumb/c7usjg7gpo8rs0bfjkph.jpg, //images.igdb.com/igdb/image/upload/t_thumb/ybliaszwqkwui7djaou4.jpg, //images.igdb.com/igdb/image/upload/t_thumb/ts8wtae3t6aghttvtt2s.jpg, //images.igdb.com/igdb/image/upload/t_thumb/vnv5cd9kvonsjvazpotx.jpg, //images.igdb.com/igdb/image/upload/t_thumb/w4plqrhe04byymfksmux.jpg, //images.igdb.com/igdb/image/upload/t_thumb/ubbe5gewccx5ig3xy30t.jpg]"
"Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs.",//images.igdb.com/igdb/image/upload/t_thumb/co1rs4.jpg,"You lost your memory, you are alone in a world full of danger, and your mission is survive using your mind. The only way to get out from this hell is.....Hi i'm GLAdOS, and welcome to the amazing world of portal 2, here i will expose you to a lot of tests, and try to k.. help Aperture Science envolve in a new era.
Your job is advance in the levels i propose and get better and better, you will have an portal gun to help you, and remember nothing is impossible if you try, and try again and again and again....
The puzzles are waiting for you!",ac654d3b-745b-4087-912e-fa2cd60c9b59,"[//images.igdb.com/igdb/image/upload/t_thumb/i9ys3zdhph1mh3futdit.jpg, //images.igdb.com/igdb/image/upload/t_thumb/rvrge8js7xnhr4z1vrbk.jpg, //images.igdb.com/igdb/image/upload/t_thumb/cmxaa4r52exlqvzwtxkh.jpg, //images.igdb.com/igdb/image/upload/t_thumb/vghkwbdabx0cri7thb9y.jpg, //images.igdb.com/igdb/image/upload/t_thumb/m4hdhjptmmwvrjbojzp0.jpg]"
"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling.

NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around them, from the physical environment to the behaviors even the emotions of both friends and enemies.",//images.igdb.com/igdb/image/upload/t_thumb/co1nmw.jpg,"Gordon Freeman is brought out of stasis by the G-Man, who inserts him into a train arriving at City 17. After arriving at the station and eluding Combine forces, Gordon joins Lambda resistance members including Barney Calhoun, a former Black Mesa security guard now working undercover as a Combine CP officer, and Alyx Vance, the daughter of one of Gordon's former colleagues, Dr. Eli Vance. After a failed attempt to teleport Gordon to Black Mesa East from Dr. Kleiner's makeshift laboratory, Gordon, re-equipped with the HEV suit and a crowbar, is forced to embark on foot through the city's old canal system. After obtaining an airboat, he battles his way to Black Mesa East, several miles from the city.
Gordon is reintroduced to Eli and meets Dr. Judith Mossman. Alyx introduces Gordon to her large pet robot D0g and gives him a ""Gravity Gun"", a weapon which allows Gordon to pick up and move any large object with ease. Black Mesa East soon comes under Combine attack and Eli and Mossman are captured to be taken to a Combine prison, Nova Prospekt. Gordon and Alyx are forced to take separate paths to Nova Prospekt; Gordon takes a detour through the town of Ravenholm, receiving help from its last survivor, Father Grigori. After making his way through the town and a mine, Gordon makes his way to a Resistance outpost. Gordon is provided with a Dune Buggy, which he uses to travel along a crumbling coastal road to Nova Prospekt. Along the way, Gordon encounters frequent Combine patrols, and helps one of the resistance leaders, Colonel Odessa Cubbage, to defend a Resistance base from a Combine gunship.
After crossing an antlion-infested beach, Gordon enters Nova Prospekt, where he is reunited with Alyx. They manage to locate Eli, but also discover that Mossman is a Combine informant. Before they can stop her, she teleports herself and Eli back to City 17's Citadel. The Combine teleporter explodes as Gordon and Alyx use it to escape Nova Prospekt.
Upon reaching Kleiner's lab, a shaken Dr. Kleiner reveals to Gordon and Alyx that they were caught in a ""slow teleport"", during which a week had passed. In their absence, the Resistance, who heard about what had happened at Nova Prospekt, has mobilized against the Combine, turning City 17 into a battleground. During the fighting, Alyx is captured by the Combine and taken to the Citadel, and Gordon fights through the city with the aid of D0g and Barney to reach it. Inside the Citadel, he is caught in a Combine confiscation chamber that destroys all of his weapons except for the Gravity Gun, the energy enhancing its capabilities and allowing Gordon to escape and dispatch platoons of Combine soldiers.
Eventually, Gordon is captured riding in a Combine transport pod and is taken to Dr. Breen's office, where he and Dr. Mossman are waiting with Eli and Alyx in captivity. Dr. Breen begins to explain his plans for further conquest of the humans by the Combine, contrary to what he had told Dr. Mossman. Angered, Mossman frees Gordon, Alyx, and Eli before Breen teleports them off-world. Dr. Breen tries to escape through a portal, but Gordon pursues him and destroys the portal reactor with the super-charged Gravity Gun. Breen appears to be annihilated in the resulting explosion. Just before Gordon and Alyx are presumably met with a similar fate, time is frozen. The G-Man reappears, praising Gordon for his actions in City 17 and the Citadel. Making vague mention of ""offers for [Gordon's] services"", the G-Man places him back into stasis.",4996489e-4bd8-40be-ac4f-9ffcf829ceab,"[//images.igdb.com/igdb/image/upload/t_thumb/mpphkihhk8yh9m2zaafd.jpg, //images.igdb.com/igdb/image/upload/t_thumb/muyxb9cljgsy245fcimx.jpg, //images.igdb.com/igdb/image/upload/t_thumb/nnlfbf8blflrlmuarfej.jpg, //images.igdb.com/igdb/image/upload/t_thumb/ga0lj5zqeqd7moyzxij9.jpg, //images.igdb.com/igdb/image/upload/t_thumb/iau5t12jemoelx0xuzna.jpg]"
"Waking up in a seemingly empty laboratory, the player is made to complete various physics-based puzzle challenges through numerous test chambers in order to test out the new Aperture Science Handheld Portal Device, without an explanation as to how, why or by whom.",//images.igdb.com/igdb/image/upload/t_thumb/co1x7d.jpg,"Portal's plot is revealed to the player via audio messages or ""announcements"" from GLaDOS and visual elements inside rooms found in later levels. According to The Final Hours of Portal 2, the year is established to be ""somewhere in 2010""—twelve years after Aperture Science has been abandoned.

The game begins with Chell waking up from a stasis bed and hearing instructions and warnings from GLaDOS, an artificial intelligence, about upcoming tests. Chell enters into distinct chambers that introduce players to the game's mechanics, sequentially. GLaDOS's announcements serve as instructions to Chell and help the player progress through the game, but also develops the atmosphere and characterizes the AI as a person.[4] Chell is promised cake as her reward if she completes all test chambers.[19]

Chell proceeds through the empty Enrichment Center, with GLaDOS as her only interaction. As the player nears completion, GLaDOS's motives and behavior turn more sinister; although she is designed to appear encouraging, GLaDOS's actions and speech suggest insincerity and callous disregard for the safety and well-being of the test subjects. The test chambers become increasingly dangerous as Chell proceeds, tests including a live-fire course designed for military androids, as well as some chambers flooded with a hazardous liquid. In another chamber, GLaDOS notes the importance of the Weighted Companion Cube, a waist-high crate with a single large pink heart on each face, for helping Chell to complete the test. However, GLaDOS declares it must be euthanized in an ""emergency intelligence incinerator"" before Chell can continue.[17] Some later chambers include automated turrets with childlike voices (also voiced by McLain) that fire at Chell, only to sympathize with her after being destroyed or disabled.[20][21]

After Chell completes the final test chamber, GLaDOS maneuvers Chell into an incinerator in an attempt to kill her. Chell escapes with the portal gun and makes her way through the maintenance areas within the Enrichment Center.[22] GLaDOS panics and insists that she was pretending to kill Chell as part of testing. GLaDOS then asks Chell to assume the ""party escort submission position"", lying face-first on the ground, so that a ""party associate"" can take her to her reward, but Chell continues her escape. In this section, GLaDOS communes with Chell as it becomes clear the AI had killed everyone else in the center.[11][12] Chell makes her way through the maintenance areas and empty office spaces behind the chambers, sometimes following graffiti messages which point in the right direction. These backstage areas, which are in an extremely dilapidated state, stand in stark contrast to the pristine test chambers. The graffiti includes statements such as ""the cake is a lie"", and pastiches of Emily Dickinson's poem ""The Chariot"", Henry Wadsworth Longfellow's ""The Reaper and the Flowers"", and Emily Brontë's ""No Coward Soul Is Mine"", referring to and mourning the death of the Companion Cube.[4]

GLaDOS attempts to dissuade Chell with threats of physical harm and misleading statements as Chell makes her way deeper into the maintenance areas. Chell reaches a large chamber where GLaDOS's hardware hangs overhead. GLaDOS continues to threaten Chell, but during the exchange, a sphere falls off of GLaDOS and Chell drops it in an incinerator. GLaDOS reveals that Chell has just destroyed the morality core or her conscience, one of the multiple ""personality cores"" that Aperture Science employees installed after the AI flooded the enrichment center with neurotoxin gas. With it removed, she can access its emitters again. A six-minute countdown starts as Chell dislodges and incinerates more of GLaDOS' personality cores, while GLaDOS discourages her both verbally, with taunts and juvenile insults, and physically by firing rockets at her. After Chell destroys the last personality core, a malfunction tears the room apart and transports everything to the surface. Chell is then seen lying outside the facility's gates amid the remains of GLaDOS. Following the announcement of Portal 2, the ending was expanded in a later update. In this retroactive continuity, Chell is dragged away from the scene by an unseen entity speaking in a robotic voice, thanking her for assuming the ""party escort submission position"".[15][23]

The final scene, after a long and speedy zoom through the bowels of the facility, shows a Black Forest cake,[24] and the Weighted Companion Cube, surrounded by a mix of shelves containing dozens of apparently inactive personality cores. The cores begin to light up, before a robotic arm descends and extinguishes the candle on the cake, causing the room to blackout.[25] As the credits roll, GLaDOS delivers a concluding report: the song ""Still Alive"", which declares the experiment to be a huge success, as well as serving to indicate to the player that GLaDOS is still alive,[26] that her ""happy"" core was not disabled.",006b760c-4a72-4778-92d4-9403607381d8,"[//images.igdb.com/igdb/image/upload/t_thumb/x7pzfljardlljvtqcgv4.jpg, //images.igdb.com/igdb/image/upload/t_thumb/co2mtfe04a5iclqoo11c.jpg, //images.igdb.com/igdb/image/upload/t_thumb/oycbiasvmiewjxncqlgd.jpg, //images.igdb.com/igdb/image/upload/t_thumb/hod8sle7imoqjh1zb7nj.jpg, //images.igdb.com/igdb/image/upload/t_thumb/gdgj7p0vo52jpwoxtm3v.jpg]"
"A third person shooter/stealth/survival hybrid, in which twenty years after the outbreak of a parasitic fungus which takes over the neural functions of humans, Joel, a Texan with a tragic familial past, finds himself responsible with smuggling a fourteen year old girl named Ellie to a militia group called the Fireflies, while avoiding strict and deadly authorities, infected fungal hosts and other violent survivors.",//images.igdb.com/igdb/image/upload/t_thumb/co1r7f.jpg,"Joel, a ruthless survivor with few moral lines left to cross, lives in one of the last remaining Quarantine Zones. These walled-off, oppressive cities are run by what’s left of the military. Despite the strict martial law, Joel operates in the black market of the city, smuggling contraband for the right price.

Joel is asked by a dying friend to look after Ellie, a fourteen-year-old girl with courage beyond her years. What starts out as a simple job to deliver Ellie to another Quarantine Zone, soon transforms into a profound journey that will forever change Joel and Ellie.

As they journey across a post-pandemic United States, Joel and Ellie will encounter different factions of survivors that have each found a unique way of dealing with the infected humans, the lack of supplies, and the threat of other survivors. As Joel and Ellie struggle to persevere, they must learn to trust each other and work together in order to survive the realities of this new world.",e315c4d2-db8b-4fbe-bcb6-98d0c1d650cc,"[//images.igdb.com/igdb/image/upload/t_thumb/upogjfthdffjlzfi26xe.jpg, //images.igdb.com/igdb/image/upload/t_thumb/emvrwg5vhpfcmn9loxgu.jpg, //images.igdb.com/igdb/image/upload/t_thumb/kdt90b2rbx4tmewaxur9.jpg, //images.igdb.com/igdb/image/upload/t_thumb/oon90tsbpin8qae3rldz.jpg, //images.igdb.com/igdb/image/upload/t_thumb/rta7qwesachxsykzwokf.jpg]"
"Are you prepared to lose everything to save the galaxy? You'll need to be, Commander Shephard. It's time to bring together your greatest allies and recruit the galaxy's fighting elite to continue the resistance against the invading Reapers. So steel yourself, because this is an astronomical mission where sacrifices must be made. You'll face tougher choices and new, deadlier enemies. Arm yourself and prepare for an unforgettable intergalactic adventure.

Game Features:

Shift the fight in your favour. Equip yourself with powerful new weapons almost instantly thanks to a new inventory system. Plus, an improved health regeneration system means you'll spend less time hunting for restorative items.

Make every decision matter. Divisive crew members are just the tip of the iceberg, Commander, because you'll also be tasked with issues of intergalactic diplomacy. And time's a wastin' so don't be afraid to use new prompt-based actions that let you interrupt conversations, even if they could alter the fate of your crew...and the galaxy.

Forge new alliances, carefully. You'll fight alongside some of your most trustworthy crew members, but you'll also get the opportunity to recruit new talent. Just choose your new partners with care because the fate of the galaxy rests on your shoulders, Commander.",//images.igdb.com/igdb/image/upload/t_thumb/co20ac.jpg,"Two years after Commander Shepard repelled invading Reapers bent on the destruction of organic life, a mysterious new enemy has emerged. On the fringes of known space, something is silently abducting entire human colonies. Now Shepard must work with Cerberus, a ruthless organization devoted to human survival at any cost, to stop the most terrifying threat mankind has ever faced.

To even attempt this perilous mission, Shepard must assemble the galaxy's most elite team and command the most powerful ship ever built. Even then, they say it would be suicide. Commander Shepard intends to prove them wrong.",8a1d8a9a-3ff7-4ec4-abe0-001127e0e584,"[//images.igdb.com/igdb/image/upload/t_thumb/bk0fi4frntydsqma0g0q.jpg, //images.igdb.com/igdb/image/upload/t_thumb/k22nwxzx6eb4ek7xbjps.jpg, //images.igdb.com/igdb/image/upload/t_thumb/gzp0z0rcwlw3symd33gy.jpg, //images.igdb.com/igdb/image/upload/t_thumb/xsdmofyywtzsgrcadaym.jpg, //images.igdb.com/igdb/image/upload/t_thumb/wvtfwo7zwey0j3mzvlbv.jpg]"
